* 55/04/21  671 Incident at Chalk Point
* 55/04/28  672 Letters from Aaron Burr 
* 55/05/05  673 The Lovely Look 
* 55/05/12  674 Night Melody
* 55/05/19  675 A Case for Mister Carrington 
  55/05/26  676 Maid of Honor
* 55/06/02  677 The First Year 
* 55/06/09  678 A Woman's Privilege
* 55/06/16  679 Two Lives of Colby Fletcher 
  55/06/23  680 Cliffs of Weyrum
* 55/06/30  681 Lady in Waiting
* 55/07/07  682 The Big Prison
  55/07/14  683 Murder on Rourke Island
  55/07/21  684 Trademark
* 55/07/28  685 The Blank Wall  
* 55/08/04  686 The Havana Lee
* 55/08/11  687 Marked Man
* 55/08/18  688 A Present for Ricky
* 55/08/25  689 Little Red Book
* 55/09/08  690 Design for Murder
  55/09/15  691 
  55/09/22  692 Element X
* xx/xx/xx      Kaleidoscope
